,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,error
3470,0.738,0.814,7.0,-4.414,0.0,0.0999,0.132,9.64e-06,0.126,0.483,119.041,audio_features,3Ytr1SUCUi6J3L9dRFx5iH,spotify:track:3Ytr1SUCUi6J3L9dRFx5iH,https://api.spotify.com/v1/tracks/3Ytr1SUCUi6J3L9dRFx5iH,https://api.spotify.com/v1/audio-analysis/3Ytr1SUCUi6J3L9dRFx5iH,225850.0,4.0,
3471,0.611,0.644,6.0,-7.607,0.0,0.0553,0.124,0.0,0.124,0.13,105.969,audio_features,6jA8HL9i4QGzsj6fjoxp8Y,spotify:track:6jA8HL9i4QGzsj6fjoxp8Y,https://api.spotify.com/v1/tracks/6jA8HL9i4QGzsj6fjoxp8Y,https://api.spotify.com/v1/audio-analysis/6jA8HL9i4QGzsj6fjoxp8Y,221904.0,4.0,
3472,0.668,0.613,4.0,-4.225,1.0,0.102,0.414,0.0,0.102,0.498,99.852,audio_features,6875MeXyCW0wLyT72Eetmo,spotify:track:6875MeXyCW0wLyT72Eetmo,https://api.spotify.com/v1/tracks/6875MeXyCW0wLyT72Eetmo,https://api.spotify.com/v1/audio-analysis/6875MeXyCW0wLyT72Eetmo,181933.0,4.0,
3473,0.818,0.803,1.0,-4.282,1.0,0.0797,0.034,0.0,0.153,0.632,106.97,audio_features,6b8Be6ljOzmkOmFslEb23P,spotify:track:6b8Be6ljOzmkOmFslEb23P,https://api.spotify.com/v1/tracks/6b8Be6ljOzmkOmFslEb23P,https://api.spotify.com/v1/audio-analysis/6b8Be6ljOzmkOmFslEb23P,225983.0,4.0,
3474,0.728,0.73,5.0,-5.402,1.0,0.213,0.741,0.0,0.705,0.736,136.052,audio_features,0ro5QCkSCtbfhMHnvMase3,spotify:track:0ro5QCkSCtbfhMHnvMase3,https://api.spotify.com/v1/tracks/0ro5QCkSCtbfhMHnvMase3,https://api.spotify.com/v1/audio-analysis/0ro5QCkSCtbfhMHnvMase3,201544.0,4.0,
3475,0.597,0.113,0.0,-34.475,1.0,0.954,0.461,0.000393,0.148,0.313,81.311,audio_features,0VJYhKhrHgJ7fgjGaC2k07,spotify:track:0VJYhKhrHgJ7fgjGaC2k07,https://api.spotify.com/v1/tracks/0VJYhKhrHgJ7fgjGaC2k07,https://api.spotify.com/v1/audio-analysis/0VJYhKhrHgJ7fgjGaC2k07,50748.0,5.0,
3476,0.427,0.698,1.0,-6.06,1.0,0.247,0.34,0.0,0.0817,0.447,93.611,audio_features,57nQyFocXZrKvWg5ZPYSoG,spotify:track:57nQyFocXZrKvWg5ZPYSoG,https://api.spotify.com/v1/tracks/57nQyFocXZrKvWg5ZPYSoG,https://api.spotify.com/v1/audio-analysis/57nQyFocXZrKvWg5ZPYSoG,199211.0,5.0,
3477,0.651,0.68,8.0,-6.057,0.0,0.0647,0.0209,0.0,0.381,0.092,127.001,audio_features,2O1qYJTA2BI5ypFFqEZhh4,spotify:track:2O1qYJTA2BI5ypFFqEZhh4,https://api.spotify.com/v1/tracks/2O1qYJTA2BI5ypFFqEZhh4,https://api.spotify.com/v1/audio-analysis/2O1qYJTA2BI5ypFFqEZhh4,274880.0,4.0,
3478,0.592,0.681,0.0,-5.597,1.0,0.141,0.362,0.0,0.142,0.491,147.016,audio_features,0m2orA1i5lLZUOt9XLwSd0,spotify:track:0m2orA1i5lLZUOt9XLwSd0,https://api.spotify.com/v1/tracks/0m2orA1i5lLZUOt9XLwSd0,https://api.spotify.com/v1/audio-analysis/0m2orA1i5lLZUOt9XLwSd0,217107.0,4.0,
3479,0.809,0.58,1.0,-7.253,1.0,0.348,0.0856,0.0,0.115,0.146,157.961,audio_features,1tyjWMMINb9S0YBynTvJ7s,spotify:track:1tyjWMMINb9S0YBynTvJ7s,https://api.spotify.com/v1/tracks/1tyjWMMINb9S0YBynTvJ7s,https://api.spotify.com/v1/audio-analysis/1tyjWMMINb9S0YBynTvJ7s,212383.0,4.0,
3480,0.419,0.585,6.0,-5.435,1.0,0.0741,0.0258,0.0,0.143,0.256,72.635,audio_features,65MOTX6uSFAnqXl7dlAuId,spotify:track:65MOTX6uSFAnqXl7dlAuId,https://api.spotify.com/v1/tracks/65MOTX6uSFAnqXl7dlAuId,https://api.spotify.com/v1/audio-analysis/65MOTX6uSFAnqXl7dlAuId,236987.0,4.0,
3481,0.859,0.424,10.0,-6.155,1.0,0.27,0.102,0.0,0.327,0.293,145.886,audio_features,3LyNsopPP3hXf8bZBE7cDk,spotify:track:3LyNsopPP3hXf8bZBE7cDk,https://api.spotify.com/v1/tracks/3LyNsopPP3hXf8bZBE7cDk,https://api.spotify.com/v1/audio-analysis/3LyNsopPP3hXf8bZBE7cDk,210333.0,4.0,
3482,0.9,0.532,0.0,-5.516,1.0,0.0744,0.0889,0.0,0.0533,0.592,140.023,audio_features,0WQcnrsEqrY2e5nexGe3HX,spotify:track:0WQcnrsEqrY2e5nexGe3HX,https://api.spotify.com/v1/tracks/0WQcnrsEqrY2e5nexGe3HX,https://api.spotify.com/v1/audio-analysis/0WQcnrsEqrY2e5nexGe3HX,236227.0,4.0,
3483,0.494,0.778,8.0,-7.041,1.0,0.0359,0.000115,0.0,0.0904,0.406,139.963,audio_features,4U9arGcc4ATa7shChhLQP0,spotify:track:4U9arGcc4ATa7shChhLQP0,https://api.spotify.com/v1/tracks/4U9arGcc4ATa7shChhLQP0,https://api.spotify.com/v1/audio-analysis/4U9arGcc4ATa7shChhLQP0,188228.0,4.0,
3484,0.461,0.834,2.0,-4.868,1.0,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,audio_features,6PCUP3dWmTjcTtXY02oFdT,spotify:track:6PCUP3dWmTjcTtXY02oFdT,https://api.spotify.com/v1/tracks/6PCUP3dWmTjcTtXY02oFdT,https://api.spotify.com/v1/audio-analysis/6PCUP3dWmTjcTtXY02oFdT,261154.0,4.0,
3485,0.65,0.765,11.0,-4.603,0.0,0.0464,0.0933,0.00457,0.119,0.475,107.015,audio_features,0Z9HQ8YvHqdeOjTwsR3cS7,spotify:track:0Z9HQ8YvHqdeOjTwsR3cS7,https://api.spotify.com/v1/tracks/0Z9HQ8YvHqdeOjTwsR3cS7,https://api.spotify.com/v1/audio-analysis/0Z9HQ8YvHqdeOjTwsR3cS7,213226.0,4.0,
3486,0.732,0.75,11.0,-6.366,0.0,0.231,0.00264,0.0,0.109,0.401,155.096,audio_features,2eMwDehkIC1j68U6FA3Eiq,spotify:track:2eMwDehkIC1j68U6FA3Eiq,https://api.spotify.com/v1/tracks/2eMwDehkIC1j68U6FA3Eiq,https://api.spotify.com/v1/audio-analysis/2eMwDehkIC1j68U6FA3Eiq,182707.0,4.0,
3487,0.53,0.512,8.0,-7.094,1.0,0.133,0.0162,7.04e-05,0.128,0.401,196.121,audio_features,7LEydI5NfjY6mZfKwYIptZ,spotify:track:7LEydI5NfjY6mZfKwYIptZ,https://api.spotify.com/v1/tracks/7LEydI5NfjY6mZfKwYIptZ,https://api.spotify.com/v1/audio-analysis/7LEydI5NfjY6mZfKwYIptZ,164985.0,4.0,
